Favorite,Course,Enrolled as,Nickname,Published,Term
CIS7980.008S23.13562 Dissertation: Doctoral cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1771206,Student,,YesThis course has been published.,Spring 23
CIS7980.008F21.81354 Dissertation: Doctoral cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1603862,Student,,YesThis course has been published.,Fall 21
CNT4104L.003S24.17494 Computer Networks Lab for IT cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1906028,TA,,YesThis course has been published.,Spring 24
EEL4935.001U21.56414 Field Prgm Gate Array Design cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1567164,Teacher,,YesThis course has been published.,Summer 21
COT6405.001F19.80814 Intro to Theory of Algorithms cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1357474,Student,,YesThis course has been published.,Fall 19
IDS5921.004F18 Teaching Assistant Training cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1332407,Student,,YesThis course has been published.,Fall 18
CMOS VLSI Lab F20 cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1457636,Student,,YesThis course has been published.,Fall 20
Preventing Sexual Harassment on Campus cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1333838,Student,,YesThis course has been published.,Default Term
CIS7980.008S25.17590 Dissertation: Doctoral cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1936164,Student,,YesThis course has been published.,Spring 25
Click to remove EEL6764.001S25.15508 Princ of Computer Architecture from the courses menu.,https://usflearn.instructure.com/courses/1927136,TA,,YesThis course has been published.,Spring 25
COT6405.701F18 Intro to Theory of Algorithms cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1299019,Student,,YesThis course has been published.,Fall 18
COP6611.001S19.10707 Operating Systems cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1318914,Student,,YesThis course has been published.,Spring 19
